iter	Passed	Remaining
900	15416	1693
901	15433	1676
902	15451	1659
903	15468	1642
904	15485	1625
905	15501	1608
906	15517	1591
907	15534	1574
908	15551	1556
909	15568	1539
910	15584	1522
911	15601	1505
912	15618	1488
913	15635	1471
914	15653	1454
915	15674	1437
916	15690	1420
917	15707	1403
918	15723	1385
919	15741	1368
920	15758	1351
921	15775	1334
922	15791	1317
923	15808	1300
924	15825	1283
925	15842	1266
926	15860	1248
927	15877	1231
928	15894	1214
929	15911	1197
930	15928	1180
931	15944	1163
932	15962	1146
933	15979	1129
934	15996	1112
935	16013	1094
936	16030	1077
937	16046	1060
938	16064	1043
939	16082	1026
940	16099	1009
941	16119	992
942	16136	975
943	16153	958
944	16170	941
945	16187	924
946	16204	906
947	16221	889
948	16239	872
949	16256	855
950	16273	838
951	16291	821
952	16308	804
953	16325	787
954	16341	770
955	16358	752
956	16374	735
957	16391	718
958	16408	701
959	16425	684
960	16441	667
961	16458	650
962	16475	633
963	16492	615
964	16509	598
965	16527	581
966	16543	564
967	16560	547
968	16579	530
969	16595	513
970	16612	496
971	16629	479
972	16649	461
973	16667	444
974	16683	427
975	16701	410
976	16718	393
977	16736	376
978	16754	359
979	16771	342
980	16787	325
981	16803	308
982	16819	290
983	16835	273
984	16851	256
985	16867	239
986	16883	222
987	16900	205
988	16917	188
989	16932	171
990	16950	153
991	16967	136
992	16984	119
993	17001	102
994	17020	85
995	17036	68
996	17054	51
997	17071	34
998	17088	17
999	17104	0
